Iteration,SampleCount,S_TEMPERATURE,S_TEMPERATURE_Weight
56,49,,
55,146,438.4452583387833,139
54,74,472.3536417088111,55
53,38,693.9996375697272,30
52,27,651.3147988419795,24
51,114,456.7647483749134,113
50,84,524.646121501842,72
49,145,532.3953541375175,135
48,141,558.3428398936691,134
47,208,739.083312432604,193
46,176,829.278142606607,154
45,54,1055.9372671210544,37
44,1212,505.3746280174049,1208
43,145,554.0484067989998,10
42,603,496.6763909426175,602
41,76,773.2611307314319,3
40,2,,
39,3,,
38,1,,
37,7,69.44226023042211,2
36,26,,
35,5,1943.7484084814105,1
34,13,514.4167961509247,4
33,14,852.271835273994,9
32,13,1049.030008774669,3
31,54,512.1876130522506,41
30,8,,
29,9,,
28,4,,
27,13,500.4665894039499,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
