Iteration,SampleCount,S_TEMPERATURE,S_TEMPERATURE_Weight
56,52,,
55,146,400.62603205439547,142
54,71,482.7388960599914,55
53,38,659.7167858708792,30
52,27,575.1833716661655,24
51,107,461.0531559982074,106
50,92,542.1010246395082,73
49,137,549.9215141483727,128
48,148,551.0206700070855,134
47,213,714.824567508631,198
46,171,848.9735209812823,154
45,54,1063.0594543703469,37
44,1206,504.6807365558523,1202
43,152,513.979971840604,11
42,609,,
41,70,779.018399459118,4
40,1,,
39,3,,
38,1,,
37,7,63.926151495061276,2
36,25,,
35,6,1938.3745909164145,1
34,11,62.79458655049166,2
33,17,910.0,10
32,13,938.9687003789008,4
31,53,506.20663559663893,41
30,8,,
29,9,,
28,4,,
27,13,505.43732301343334,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
