Iteration,SampleCount,S_TEMPERATURE,S_TEMPERATURE_Weight
56,49,,
55,147,128.12954841167186,140
54,74,466.72064108827277,56
53,37,183.66769368937224,30
52,24,186.2902654206569,21
51,120,342.49469117387525,116
50,82,32924073434.18467,73
49,135,19983.483170493433,126
48,151,301.39705574468695,135
47,212,187.8563292353255,198
46,171,472.3212159919032,154
45,55,1015.3065987826354,38
44,1202,495.1235014734189,1199
43,154,586.2103118889058,10
42,614,530.5527953380712,613
41,66,1255.1477903130512,4
40,1,,
39,3,,
38,1,,
37,7,98.74355805473033,2
36,24,,
35,7,2003.2782620956978,1
34,13,522.4216204727368,4
33,13,824.2077293492691,8
32,15,1256.4026734967476,4
31,51,512.5090507844305,39
30,10,,
29,9,,
28,4,,
27,13,706.2149276408045,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
