Iteration,SampleCount,S_TEMPERATURE,S_TEMPERATURE_Weight
56,56,572.8466058709474,54
55,142,151.38407953892363,140
54,77,86.84218822290367,59
53,34,84.91363577487276,30
52,25,130.88005562211018,22
51,119,110.17111420526629,116
50,83,136.82533435172405,74
49,136,103.71748079037046,128
48,151,105.78561405596616,137
47,203,91.3967195791229,191
46,177,78.42899656372697,153
45,56,87.77870919110292,38
44,1212,47.87059828460787,1209
43,143,56.121173479289304,9
42,600,101.42300527333086,598
41,80,54.26110968659668,3
40,2,,
39,3,,
38,1,,
37,7,313.72701064194916,2
36,24,,
35,7,410.9269804747328,1
34,13,169.2045485505978,4
33,16,124.09385503449394,11
32,12,58.08648581930015,4
31,51,165.59391981746876,39
30,10,,
29,9,,
28,4,,
27,13,73.68768545988314,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
