Iteration,SampleCount,S_TEMPERATURE,S_TEMPERATURE_Weight
56,51,,
55,148,155.0504530695417,143
54,71,764.8053805536348,56
53,35,176.8545868308946,28
52,29,389.9073579429992,24
51,116,659.217425750617,115
50,82,29386669341.910477,72
49,136,9839.1131383879,126
48,147,4733.307039244298,131
47,206,11697.447053051397,188
46,188,2836745.785690792,161
45,47,26586.641776525135,37
44,1205,40753.922220617635,1201
43,153,34043.24173110664,11
42,614,,
41,64,50907.188310307705,3
40,2,,
39,3,,
38,1,,
37,7,64510.53440591222,2
36,24,,
35,7,87494.40045504614,1
34,13,30004.34186753002,4
33,13,41454.808769981115,8
32,15,64528.12611654799,4
31,52,61041.982729096075,40
30,9,,
29,9,,
28,4,,
27,13,58849.053291707976,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
