Iteration,SampleCount,S_TEMPERATURE,S_TEMPERATURE_Weight
56,50,,
55,148,415.0389839034208,142
54,69,508.74693792611396,53
53,40,675.539218251403,30
52,27,682.125,24
51,112,451.8261228571839,111
50,90,511.3655669249617,76
49,134,525.6537145196039,128
48,155,547.0376521475398,141
47,206,717.7431875596577,198
46,171,852.2781036943824,154
45,53,1026.220458170235,36
44,1202,509.2072362855365,1197
43,155,514.528660083583,9
42,609,498.51857643346864,607
41,72,779.9220953638123,4
40,1,,
39,3,,
38,1,,
37,7,63.02355131137847,2
36,26,,
35,5,1937.7728292746033,1
34,12,657.1930049690154,3
33,15,968.5116862005952,9
32,13,992.5666972686253,3
31,53,484.9017946450021,40
30,9,,
29,9,,
28,4,,
27,13,506.6850490842371,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
