Iteration,SampleCount,S_TEMPERATURE,S_TEMPERATURE_Weight
56,51,633.6464174245504,50
55,148,175.69707281873048,142
54,70,122.14204756608497,54
53,38,164.42116058699915,29
52,26,143.7698346331904,22
51,112,154.7878655781339,109
50,88,250.681639236607,72
49,134,142.02988592493278,124
48,155,109.56927149236702,137
47,206,88.42731699412484,194
46,173,77.63652092132249,152
45,55,112.16287194989793,36
44,1226,53.72816145354596,1221
43,132,76.19605305107685,10
42,608,108.2476323821815,607
41,72,127.78307195379398,4
40,1,,
39,3,,
38,1,,
37,7,223.83846002280916,2
36,26,,
35,5,381.2133078726315,1
34,12,218.7988507199801,3
33,17,127.81903643012075,11
32,11,262.33730380788165,3
31,49,166.24686897326276,36
30,13,,
29,9,,
28,4,,
27,13,204.95951077032532,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
