Iteration,SampleCount,S_DISTANCE,S_DISTANCE_Weight
56,49,,
55,152,559.9885921831591,145
54,71,2927.4252372874757,58
53,37,807.3492519879206,32
52,22,2423.0035888546886,21
51,119,11420.296899930618,115
50,84,458.06138003419204,74
49,137,345.27166664962454,129
48,148,321.07283764896846,135
47,213,254.58845663694188,199
46,166,179.0555359304754,150
45,55,277.0322882295202,34
44,1214,502.50096026611794,1206
43,145,494.9201654624008,9
42,598,358.4275587095036,596
41,83,465.67394748515665,4
40.0,1.0,,
39.0,3.0,,
38.0,1.0,,
37,7,,
36.0,24.0,,
35,6,557.6690347310896,2
34,13,838.2071379503382,12
33,16,496.24225192739783,15
32,13,293.2709940196021,12
31,50,,
30,9,207.9026774342923,3
29,11,430.0143771943277,9
28,4,,
27,13,,
26,5,,
25,62,2807.5306189263792,61
24.0,6.0,,
23.0,3.0,,
19.0,1.0,,
16.0,1.0,,
