Iteration,SampleCount,P_OMEGA,P_OMEGA_Weight
56,52,95.18992744255779,50
55,159,1543.8392768131284,17
54,65,13823.600862677164,9
53,35,913.012181109935,5
52,25,693.7438867466524,1
51,125,3294.405155982822,2
50,74,3983744345.3728776,50
49,138,6615.051858825105,99
48,146,18068.487221150866,93
47,229,62190.54506583012,20
46,169,1507.7908772178146,25
45,44,1344.1166630076095,4
44,1343,1765.9256612463105,1
43,11,,
42,675,,
41.0,4.0,,
40.0,1.0,,
39.0,3.0,,
38.0,1.0,,
37,7,971.2537957850777,4
36.0,28.0,,
35,3,,
34,11,504.61548012210307,7
33,18,2405.833607137735,15
32,12,2238.607844622199,3
31,53,2955.902575550678,24
30,8,2670.806760556948,5
29,9,3223.4517905206417,2
28,4,,
27,13,498.2611658064419,1
26,6,,
25,67,,
23.0,3.0,,
19.0,1.0,,
16.0,1.0,,
