Iteration,SampleCount,P_MASS,P_MASS_Weight
56,53,384.85059500000006,52
55,143,488.74331842306805,139
54,72,494.5727144967858,53
53,38,539.0786523650328,28
52,29,450.20487997081653,24
51,116,491.34844426231984,115
50,79,615.5544711674213,66
49,142,542.8563554680248,103
48,150,450.5920145399769,108
47,217,423.3562979234707,137
46,180,547.2557242122081,29
45,42,515.7614313015221,10
44,1343,454.0769659298514,2
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,,
36,25,519.9549569696914,24
35,7,421.3824545019983,3
34,12,,
33,16,495.14164090521433,15
32,13,406.42073376131344,10
31,52,505.42540781803143,23
30,9,441.3625086527965,5
29,9,863.3820066551608,3
28,4,1024.1985424008694,2
27,13,855.1295850306192,6
26,5,699.2567808156575,4
25,62,602.490819314085,42
24,6,,
23,3,,
19,1,,
15,1,,
