Iteration,SampleCount,P_MASS,P_MASS_Weight
56,51,,
55,146,94.16656644950993,141
54,73,56.6211895453647,56
53,36,73.72879775352237,29
52,28,56.76544332450105,24
51,115,50.736499400718955,114
50,81,445.54563212235115,67
49,142,300.44527337352946,104
48,153,165.63546372164907,112
47,212,291.2108405647908,136
46,180,135.89685010478323,28
45,42,401.8635123607158,9
44,1343,202.91474070730095,1
43,12,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,38.76909937681461,1
37,7,,
36,23,,
35,7,346.2848719871972,2
34,12,174.47086010907032,11
33,14,350.4946510637659,12
32,15,69.34546928374043,9
31,53,105.32577262004394,23
30,9,156.10215903112328,5
29,9,706.3810572740962,3
28,4,98.23800035144731,2
27,13,849.4920394510424,6
26,6,259.305477760492,5
25,60,380.87652069034635,41
24,7,,
23,2,,
22,1,,
19,1,,
16,1,,
