Iteration,SampleCount,P_MASS,P_MASS_Weight
56,49,269.2175219551182,48
55,146,86.06107955304337,138
54,75,131.3858869157507,55
53,39,38.55698641908892,31
52,25,99.790369025129,23
51,114,239.382174698996,112
50,87,309.16008508370686,71
49,136,276.5999402106799,102
48,155,317.34253894849826,112
47,207,615.2699482486697,131
46,185,403.8640061376681,28
45,43,831.2373564377971,10
44,1343,417.43066867860824,2
43,11,,
42,675,,
41,4,,
39,4,281.68727819452903,3
38,1,,
37,7,,
36,24,,
35,6,376.9727643624689,2
34,14,291.2682784205632,13
33,16,,
32,12,253.59637180365937,10
31,55,356.09477946095456,26
30,5,1611.2594769209697,4
29,10,2076.4134572060275,3
28,4,2083.970160092849,2
27,13,1492.6301002372443,6
26,5,238.66225087212302,4
25,61,501.75811560876997,41
24,7,,
23,3,,
19,1,,
16,1,,
