Iteration,SampleCount,P_MASS,P_MASS_Weight
56,47,,
55,150,456.17906188483767,141
54,75,485.8761789189441,58
53,35,482.30102907027066,30
52,26,436.44931291346205,23
51,116,470.7651986579745,114
50,86,547.4996925310234,72
49,140,469.74101320952855,107
48,141,384.136485834951,103
47,216,411.09601437535866,131
46,185,485.0271689750454,28
45,43,515.9067153786888,10
44,1343,357.38509209578933,2
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,25,,
35,6,265.633365765511,3
34,11,,
33,16,304.80656961998665,14
32,14,355.05839308915057,10
31,52,418.1503911361282,23
30,9,444.479582895921,5
29,9,682.8606800859418,3
28,4,619.8828556295042,2
27,12,884.806541675465,5
26,7,291.4346382514577,5
25,59,369.97763444244254,40
24,8,,
23,3,,
19,1,,
16,1,,
