Iteration,SampleCount,P_MASS,P_MASS_Weight
56,53,,
55,145,74.16224393185067,142
54,72,37.800561448116106,56
53,37,39.56317017054709,30
52,27,81.1573121632502,24
51,115,54.83068327044493,114
50,86,428.00110160167276,72
49,138,255.8675929172883,105
48,145,105.13482937713155,105
47,207,150.62286459934126,124
46,192,69.75757941973855,28
45,43,184.00210785994432,10
44,1342,64.7607107892004,1
43,12,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,37.831645541229506,1
37,6,,
36,27,58.11679618127356,26
35,5,430.5213627713097,3
34,12,,
33,13,109.38488288244073,12
32,16,39.10752749111824,10
31,54,81.15828493386138,25
30,7,282.18601887692944,5
29,8,451.77046206518867,2
28,5,265.60092654266373,2
27,13,480.19878628683034,6
26,5,220.7495188148056,4
25,63,207.76814416877622,43
24,5,,
23,3,,
19,1,,
16,1,,
