Iteration,SampleCount,P_MASS,P_MASS_Weight
56,53,294.7162230446154,52
55,145,241.60631319001956,141
54,73,221.70284128552288,56
53,38,222.59948345297113,31
52,24,236.32679101363638,22
51,117,267.4583105947598,114
50,85,535.7897848182142,71
49,137,565.3416963566242,103
48,149,446.1776618122083,107
47,216,586.0491696683152,135
46,180,444.41994317038916,27
45,42,962.0133111624999,8
44,1345,416.99034000000006,2
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,23,,
35,8,438.94731006992515,3
34,12,,
33,14,561.5005337712806,13
32,14,294.5155769662648,9
31,56,328.8646770786841,26
30,5,1678.5871286,4
29,9,2859.8071703312107,2
28,5,2083.3625695,2
27,13,1376.903099109352,6
26,5,383.28484311392106,4
25,60,557.893489837161,40
24,8,,
23,3,,
19,1,,
16,1,,
