Iteration,SampleCount,P_MASS,P_MASS_Weight
56,50,496.52073510596875,49
55,149,140.99340500539446,142
54,70,56.988734522738,54
53,39,63.41739591308506,30
52,24,104.30609240439571,21
51,116,69.22727815876677,112
50,88,435.42326382824524,72
49,137,243.688415080641,104
48,145,132.3387921375949,104
47,222,154.6432226231282,138
46,176,85.79326735852226,26
45,42,190.5170465237418,7
44,1346,105.75454584989168,2
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,27,,
35,3,281.5848235850626,2
34,13,111.851718510658,12
33,17,260.881929147789,16
32,12,118.47225804734501,10
31,52,115.60399851415184,23
30,8,285.2505262050206,4
29,10,752.8572389557168,3
28,4,125.59822944099325,2
27,13,700.5986331464809,6
26,6,218.06424174989488,5
25,62,299.75318895692743,43
24,5,,
23,2,,
22,1,,
19,1,,
16,1,,
