Iteration,SampleCount,P_MASS,P_MASS_Weight
56,49,,
55,148,295.93350233471335,141
54,73,162.41915295443928,56
53,38,162.03627405918135,31
52,23,220.11841260509124,21
51,121,172.52376470986204,117
50,80,444.6933296164931,69
49,146,415.32021081777845,110
48,139,210.47712911854316,104
47,213,235.47453840554678,129
46,187,163.1877870502236,28
45,42,195.81499344974108,9
44,1344,160.86351844244328,2
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,,
36,24,79.46180114069357,23
35,7,26.399293747317188,2
34,12,265.83250292140445,11
33,16,256.3996051631074,14
32,14,700.3081343502971,10
31,53,119.5353397485824,24
30,8,221.8152145694164,5
29,9,423.6960664724155,3
28,4,442.8784605435975,2
27,13,1086.997965352517,6
26,6,568.1153447205626,5
25,61,438.37829062693294,42
24,6,,
23,3,,
19,1,,
16,1,,
