Iteration,SampleCount,P_MASS,P_MASS_Weight
56,51,398.0526861704001,50
55,149,464.6365520453988,143
54,73,497.8189374841342,58
53,32,477.099287582315,27
52,29,434.7189120148236,23
51,108,473.0839811838797,106
50,90,615.7434287544088,68
49,145,498.13789148145935,108
48,147,397.44371150794393,110
47,209,396.5149764425104,131
46,185,474.0873764845118,28
45,42,482.9100983952927,9
44,1344,445.61860501712766,2
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,1,,
37,8,354.7352752838036,7
36,24,,
35,6,141.5239256950523,2
34,14,415.7909882514619,13
33,15,,
32,10,292.107870238582,7
31,58,409.2733161011489,26
30,6,337.3962179527039,5
29,9,732.9268544210954,3
28,4,667.9396165155943,2
27,12,947.602103209144,5
26,7,296.8747605858427,5
25,64,429.411736833185,45
24,3,,
23,3,,
19,1,,
16,1,,
