Iteration,SampleCount,P_MASS,P_MASS_Weight
56,50,,
55,145,121.62045968081782,139
54,74,67.98475089232163,55
53,40,122.14497663215533,32
52,24,76.81295545202052,23
51,114,69.36875073463075,112
50,88,486.2529968762902,72
49,136,177.75685424407578,103
48,149,147.09438205135245,107
47,219,224.75605493322408,138
46,171,139.6356663724965,21
45,48,143.90526747218811,8
44,1345,54.7229729169449,2
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,25,,
35,6,402.0543356251466,3
34,12,,
33,16,198.29486523595375,15
32,11,102.44048067179403,8
31,56,103.76331527391893,25
30,7,244.4655877967492,5
29,8,332.6076262865396,2
28,5,90.51180070384734,2
27,12,1051.7342477827647,5
26,5,323.0694658026791,3
25,66,353.9524738423947,45
24,3,,
23,3,,
19,1,,
16,1,,
