Iteration,SampleCount,P_MASS,P_MASS_Weight
56,50,365.5346998167347,49
55,149,208.2715752660986,142
54,71,92.31268439734545,55
53,38,79.0787199532,30
52,27,121.6797030035,24
51,107,100.53162433056603,106
50,94,447.9595167185833,72
49,139,406.1251358244585,106
48,153,186.65489477468068,114
47,205,425.33142909751973,131
46,186,174.67668016546207,29
45,41,669.0759614911912,9
44,1344,259.87772314480003,2
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,167.49535999999995,1
37,7,,
36,24,,
35,7,402.3848698666666,3
34,11,,
33,15,254.64303748101023,13
32,13,30.39434593641615,8
31,56,114.33917922003502,25
30,6,909.033840804,4
29,10,1019.1610301333334,3
28,4,1352.0622603000002,2
27,10,2091.675877,3
26,8,555.5964446168111,4
25,65,573.2675795212236,45
24,3,,
23,3,,
19,1,,
16,1,,
