Iteration,SampleCount,P_MASS,P_MASS_Weight
56,51,,
55,143,42.84977860913043,138
54,79,5.037303905084748,59
53,33,3.656339570344833,29
52,27,13.12961317391304,23
51,114,24.793279186607148,112
50,88,230.87923176527778,72
49,138,53.187175343133305,105
48,145,15.219604669523823,105
47,221,23.535116740717363,138
46,175,16.550575768000016,25
45,43,12.514242771428583,7
44,1346,8.899185000000045,2
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,0.9534800000000132,1
37,6,,
36,25,2.1421605124999967,24
35,7,5.297129999999886,3
34,12,,
33,16,29.52643393333339,15
32,12,1.1501843088888872,9
31,56,1.8896097007692352,26
30,5,1.75838840000001,4
29,10,107.03490899999994,3
28,4,44.495890000000095,2
27,12,35.85097599999999,5
26,6,0.7095509750000017,4
25,62,29.143765751428575,42
24,6,,
23,3,,
18,1,,
16,1,,
