Iteration,SampleCount,P_MASS,P_MASS_Weight
56,52,237.4191146194356,51
55,150,66.84511738356873,145
54,67,41.71954531486275,54
53,39,36.17786835616166,30
52,24,87.29109474189252,21
51,119,61.03187823250451,115
50,82,389.85961368015097,69
49,138,278.01199191447927,102
48,150,115.4329242790661,107
47,211,166.0949656834104,130
46,188,84.3661972231052,30
45,41,176.95158147661232,10
44,1342,65.04356723906548,1
43,12,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,5,,
36,27,39.47651390533171,25
35,5,338.4133505118003,2
34,12,108.85581922531742,11
33,17,134.4132016671345,15
32,13,31.7452898580178,10
31,54,94.73036749835829,25
30,6,430.0474061094536,4
29,9,496.7312663401492,2
28,5,269.1001062334567,2
27,12,247.91123900238392,5
26,6,251.23478323757962,4
25,66,229.52469489826524,46
24,2,,
23,2,,
22,1,,
19,1,,
16,1,,
