Iteration,SampleCount,P_MASS,P_MASS_Weight
56,50,,
55,146,47.26029801092857,140
54,72,7.023350201851855,54
53,40,9.345269477096775,31
52,24,5.658783568181821,22
51,122,20.90335979915966,119
50,84,200.82525233733332,75
49,133,80.79919041183494,103
48,151,22.154283651100915,109
47,205,35.51263690182541,126
46,187,7.798609204000008,25
45,44,534.56368022625,8
44,1345,11.759635000000046,2
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,25,,
35,6,27.54508333333335,3
34,12,,
33,14,4.804583307692318,13
32,15,3.676952758000003,10
31,54,1.3207660620000004,25
30,7,264.82253332000005,5
29,9,220.51862133333336,3
28,3,1.4210854715202004e-14,1
27,14,33.48317000000005,6
26,5,2.1222964999999983,4
25,61,27.246539891463403,41
24,7,,
23,3,,
19,1,,
16,1,,
