Iteration,SampleCount,P_MASS,P_MASS_Weight
56,52,248.00960359843137,51
55,146,37.61778469865248,141
54,72,7.286583136363642,55
53,35,9.14744646740742,27
52,29,12.44186199565218,23
51,111,25.12864701376146,109
50,91,82.45345070555554,72
49,135,48.99109368038238,102
48,151,26.78480551592594,108
47,218,21.147768068623186,138
46,177,10.310697152222218,27
45,42,113.012089125,8
44,1345,0.3178299999999936,2
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,0.9534800000000132,1
37,7,,
36,22,,
35,9,47.144483333333405,3
34,11,,
33,18,16.13076637499999,16
32,11,2.159817942222226,9
31,57,1.6022055185185164,27
30,5,,
29,9,185.43247566666676,3
28,4,130.30944999999974,2
27,12,267.91501600000004,5
26,7,0.3782153200000007,5
25,64,18.30491782666668,45
24,3,,
23,2,,
22,1,,
18,1,,
16,1,,
