Iteration,SampleCount,P_MASS,P_MASS_Weight
56,49,,
55,155,207.1349134562838,148
54,63,80.34859887692075,53
53,40,84.21517090254933,30
52,25,132.43004086854546,22
51,114,108.76805085443084,111
50,88,490.018586243826,71
49,138,390.0738745992442,104
48,144,202.31492952459416,103
47,218,423.2290096336487,133
46,182,181.60710808685627,27
45,44,655.2087729604,10
44,1343,220.91151331647998,2
43,11,,
42,675,,
41,4,,
39,4,12.6090831309696,3
38,1,,
37,6,,
36,28,120.51571470422495,27
35,4,424.15227377333326,3
34,11,,
33,18,330.945865820896,16
32,12,35.870887645317254,10
31,55,115.71904274095124,26
30,5,722.2095031181598,4
29,9,380.05997590000015,2
28,5,1409.3602939,2
27,11,467.2789868499999,4
26,8,826.4482070001152,5
25,61,681.7676521353902,42
24,6,,
23,2,,
22,1,,
19,1,,
16,1,,
