Iteration,SampleCount,P_MASS,P_MASS_Weight
56,49,,
55,151,189.35302900652778,144
54,73,68.48187465972882,59
53,33,75.38198815404137,29
52,26,137.32799034818183,22
51,118,100.6579146637913,115
50,85,453.5194000309422,72
49,131,383.3285104957261,98
48,158,175.38559173172496,111
47,207,454.86694666296376,130
46,183,200.3159316151186,25
45,44,760.1497815648189,8
44,1345,220.92859974479998,2
43,11,,
42,675,,
41,4,,
39,4,12.854873520669866,3
38,1,,
37,6,,
36,27,106.29122100703911,26
35,5,404.2918377999999,3
34,11,,
33,17,344.84571206004824,15
32,11,44.804523761337606,8
31,53,111.37441464714762,22
30,9,654.5912714629055,4
29,10,962.0333509706669,3
28,4,1424.9783607000002,2
27,12,1448.5958302,5
26,7,580.8375350231379,5
25,65,633.8202757702762,46
24,2,,
23,3,,
19,1,,
16,1,,
