Iteration,SampleCount,P_MASS,P_MASS_Weight
56,53,392.7705380435295,51
55,143,461.59664953631363,138
54,74,487.58285458724174,54
53,42,494.3822288645095,33
52,24,,
51,118,478.92987809941593,117
50,77,627.4708127414546,66
49,141,497.6192493913075,102
48,156,409.360335024314,113
47,202,382.73909150761557,127
46,191,506.88492647285096,30
45,40,499.2797506215905,9
44,1343,612.3809145272535,1
43,12,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,,
36,26,403.63369168673717,25
35,5,176.20225340140536,2
34,13,351.1602039137881,12
33,16,373.8738770144516,15
32,12,293.90238595593394,9
31,55,386.5289519402919,25
30,6,353.53435894074477,4
29,10,801.6831554106782,3
28,4,773.2889896384686,2
27,13,844.1416073778521,6
26,6,388.3276320749745,5
25,61,422.326214036402,42
24,6,,
23,3,,
19,1,,
16,1,,
