Iteration,SampleCount,P_MASS,P_MASS_Weight
56,48,,
55,152,303.8983677657372,144
54,70,162.5824329887497,56
53,35,186.78881611769543,28
52,28,238.10950418292094,23
51,115,171.35454240225056,113
50,82,468.5672363961604,67
49,138,383.07678269080776,100
48,157,253.87257715823574,112
47,205,285.3395506804014,129
46,186,281.70505285282195,27
45,44,292.59099673081994,10
44,1343,153.17995419369404,2
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,27,,
35,4,333.0868159989209,3
34,13,,
33,13,,
32,15,167.03254012183902,10
31,55,120.73718325554155,26
30,6,391.26522187804045,5
29,9,832.8301649834825,3
28,3,890.4158234229723,1
27,13,1187.849464259851,5
26,5,315.3815995492096,3
25,65,325.9561699311402,44
24,4,,
23,3,,
19,1,,
16,1,,
