Iteration,SampleCount,P_MASS,P_MASS_Weight
56,50,,
55,149,32.44181570412587,143
54,74,8.092817303389829,59
53,34,11.947263142,30
52,23,8.654456599999993,20
51,117,27.738069158928568,112
50,83,102.9379679880597,67
49,143,54.87049355075238,105
48,142,23.791192891176465,102
47,219,21.506937860127834,133
46,183,9.585839750714285,28
45,43,87.85389995000001,10
44,1343,18.434025000000076,2
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,,
36,26,1.8797618039999962,25
35,6,32.63034333333326,3
34,12,,
33,17,7.313622937499997,16
32,12,0.7910739257999987,10
31,54,1.341361388000002,25
30,6,13.758772124999977,4
29,10,95.44798600000016,3
28,4,155.73574999999983,2
27,11,68.41246499999977,4
26,7,0.6157917249999973,4
25,64,9.794085634090914,44
24,4,,
23,3,,
19,1,,
16,1,,
