Iteration,SampleCount,P_MASS,P_MASS_Weight
56,53,527.4374896373267,51
55,147,233.20533132779516,142
54,71,420.6906014302257,55
53,38,64.68724074812043,30
52,24,52.084411915881816,21
51,114,81.81054770563387,110
50,88,291.2880708818772,70
49,139,670.1792753042004,104
48,153,2272.6630862912634,112
47,209,146179106.96868268,133
46,179,38773152.03584223,24
45,45,40865013552.69162,8
44,1345,23153148361.036232,2
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,,
36,27,4376576070.587199,26
35,5,824702118734.4883,3
34,12,,
33,15,2130221751698.7354,14
32,13,178374574258.37494,9
31,57,1252825799814.4946,27
30,5,,
29,8,715648543350.3197,2
28,4,637724204955.4453,1
27,14,88923981155.26927,6
26,6,135185115093.3071,5
25,62,316999045236.4725,43
24,5,,
23,3,,
19,1,,
16,1,,
