Iteration,SampleCount,P_MASS,P_MASS_Weight
56,49,388.6465314691667,48
55,149,256.4595427758471,141
54,74,225.49401313971052,57
53,35,217.56547520098485,29
52,27,230.96839000537958,23
51,115,225.0199739913562,113
50,88,535.3896849418929,73
49,133,594.8794687209441,101
48,151,405.6870609228804,107
47,209,616.7098865593878,128
46,186,460.82396722266316,26
45,45,842.296513464219,10
44,1343,416.99034000000006,2
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
37,8,375.5594006062907,7
36,27,,
35,4,438.4465029116684,3
34,13,,
33,16,,
32,11,320.4152703769662,9
31,54,324.87385950587225,24
30,6,323.8200301749493,3
29,11,2039.901499018718,3
28,4,2083.3625695,2
27,12,1620.996311475367,5
26,6,325.199193645021,4
25,67,522.6170283483192,47
24,1,,
23,3,,
19,1,,
16,1,,
