Iteration,SampleCount,P_MASS,P_MASS_Weight
56,49,,
55,150,4.556759010525142e-12,143
54,71,9.654324958522205e-12,56
53,35,2.4394574364258643,28
52,27,98.2119309507835,22
51,114,4.975205775485009,111
50,89,256.7718624584881,72
49,136,72.43735983815391,103
48,146,82.85131413491078,104
47,219,157.1345547681473,135
46,180,367.74736912631636,27
45,43,243.2956449863851,9
44,1344,146.2367506684503,2
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,16.743789002575085,1
37,5,,
36,27,446.2484457456642,25
35,6,299.00257346860866,3
34,13,,
33,15,,
32,13,93.20469485315616,10
31,51,317.26532524398783,22
30,9,1488.558908075999,4
29,10,1460.0805438311668,3
28,4,2293.5716841635876,2
27,13,1200.6863285269299,6
26,6,570.9544193930224,5
25,65,638.975095233629,46
24,2,,
23,3,,
19,1,,
16,1,,
