Iteration,SampleCount,P_MASS,P_MASS_Weight
56,52,,
55,145,195.3046604614809,141
54,71,196.35959845847614,54
53,39,253.8804859628863,30
52,28,222.79972149098694,25
51,115,,
50,84,501.17525954737965,71
49,143,511.22905992471186,109
48,147,178.75256721137447,111
47,202,263.87859058413204,125
46,186,203.33170084281926,23
45,47,207.1838144501982,9
44,1344,79.41877884550782,2
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,,
36,26,107.28144527622047,25
35,5,283.07365184839733,2
34,13,110.41896584188062,12
33,16,353.64562259589223,15
32,12,337.74813422507316,9
31,52,129.18146488285873,22
30,9,423.02150607713656,4
29,10,687.0247564159804,3
28,4,383.3575801212715,2
27,12,486.32949259719476,5
26,6,97.73539086787471,4
25,63,711.1251863100063,43
24,5,,
23,3,,
19,1,,
16,1,,
