Iteration,SampleCount,P_MASS,P_MASS_Weight
56,47,,
55,150,331.301001607219,141
54,74,224.01458154793912,57
53,34,145.63947697608558,28
52,28,290.3017675707724,23
51,111,185.49586344387114,109
50,92,537.893998545319,73
49,132,544.1863349531774,100
48,154,332.7544312443462,109
47,216,303.9948031698752,137
46,180,170.01356028916894,29
45,41,343.05187135307756,9
44,1344,69.42062555635698,2
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,26,,
35,5,575.3696539053075,3
34,11,,
33,16,247.88067365371447,14
32,14,199.24379245550153,10
31,53,156.01051514959985,24
30,7,543.6290417298845,4
29,9,806.0767440829164,2
28,5,448.1012573743187,2
27,13,1033.5221681299204,6
26,5,565.900887728171,4
25,62,466.8799953904359,42
24,6,,
23,3,,
19,1,,
16,1,,
