Iteration,SampleCount,P_MASS,P_MASS_Weight
56,49,,
55,150,478.6475778005186,143
54,73,502.6841087351557,58
53,36,512.2421646098336,31
52,23,429.4603525767619,21
51,115,487.6870211466455,111
50,90,613.4507165678357,73
49,132,555.5590373218919,100
48,154,449.85234679169645,109
47,210,425.5656158638823,131
46,185,549.366621937965,28
45,42,538.8548675123607,9
44,1344,454.9600772408225,2
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,26,,
35,5,456.69616145279036,3
34,9,,
33,18,480.6210221152876,14
32,13,460.62381134040555,9
31,54,504.99248568768354,24
30,8,421.68022784977927,5
29,8,911.9898935877663,2
28,5,1034.759557861052,2
27,12,863.3759673636863,5
26,5,796.826036485677,3
25,66,675.5647893432035,45
24,3,,
23,3,,
19,1,,
16,1,,
