Iteration,SampleCount,P_MASS,P_MASS_Weight
56,57,289.5464895651852,54
55,136,440.8752850701083,134
54,85,471.08838647232506,61
53,33,469.502283333307,31
52,23,426.52249084140016,21
51,120,449.0042481021418,116
50,81,580.387986900475,69
49,138,483.53166011972354,102
48,154,396.1030339381827,111
47,205,387.3473955546849,128
46,187,486.39638882171096,27
45,44,399.22472061092344,10
44,1343,242.31547337411504,2
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,347.22068660473155,1
37,5,,
36,29,340.0880719483897,27
35,4,326.3596267141692,3
34,11,,
33,15,325.9842734717005,13
32,14,316.1791469452668,9
31,56,409.6666943718541,26
30,6,396.27973050458377,5
29,9,821.7694725182016,3
28,4,717.1312111403382,2
27,13,775.6527062786148,6
26,6,530.9173344006127,5
25,63,518.5905499968711,44
24,4,,
23,2,,
22,1,,
19,1,,
15,1,,
