Iteration,SampleCount,P_MASS,P_MASS_Weight
56,51,,
55,148,1.3753667979180314e-12,143
54,70,0.1551860373513347,55
53,39,56.26328898268793,31
52,23,85.33125783364066,21
51,117,56.22010300518687,113
50,91,441.0655134033552,76
49,134,595.7382622939166,105
48,144,438.26036386261757,104
47,216,615.0071751016694,132
46,183,503.26195739701967,27
45,43,889.3438603547867,9
44,1343,500.2779325021392,1
43,12,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,,
36,26,370.37846819905417,25
35,5,237.86721342206778,2
34,13,403.4627695658559,12
33,15,510.4839647946921,14
32,12,314.1422222802232,8
31,55,342.15446523384514,24
30,6,2153.9020681376414,3
29,11,2028.3155186979966,3
28,3,349.88316625845295,1
27,13,1245.593980072711,5
26,7,387.76094139084876,5
25,63,534.4965247842646,44
24,4,,
23,2,,
22,1,,
19,1,,
16,1,,
