Iteration,SampleCount,P_MASS,P_MASS_Weight
56,53,,
55,147,232.12280683392535,144
54,70,211.41579146473265,56
53,37,221.11832099515152,30
52,25,231.751439752121,22
51,118,251.442112470067,115
50,85,538.387352155583,72
49,135,574.4654122070251,102
48,151,439.12626599475476,108
47,210,604.8317369194659,130
46,185,468.89738946977445,27
45,43,889.4731927963226,9
44,1343,539.3824829525452,1
43,12,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,24,,
35,7,442.95528553884765,3
34,12,,
33,15,372.5786428571428,14
32,12,278.3518701810884,8
31,53,322.92991144983637,22
30,10,1382.2322557260554,5
29,9,2040.8459580308242,3
28,3,3841.375183177246,1
27,12,665.116439577168,4
26,8,338.15183456637254,5
25,61,518.0651797930685,42
24,6,,
23,3,,
19,1,,
16,1,,
