Iteration,SampleCount,P_MASS,P_MASS_Weight
56,51,,
55,144,82.6396361546714,139
54,80,37.39675261999625,61
53,32,36.68933790656873,30
52,27,81.09473736621227,24
51,105,56.26514091841838,104
50,96,417.9688922676685,72
49,139,257.0285271217518,106
48,148,94.32429328909092,109
47,216,145.9934927793551,137
46,177,79.33715573230877,26
45,44,172.62741150742033,9
44,1344,42.35975168700374,2
43,11,,
42,675,,
41,4,,
39,3,29.128385099828108,2
38,2,21.544236305276286,1
37,6,,
36,26,56.8614155670318,25
35,5,239.8050790382835,2
34,14,117.10530773422407,13
33,14,,
32,14,33.6512482464681,10
31,54,77.27593868375449,25
30,5,387.5484268689383,3
29,10,468.15323007564143,2
28,5,232.40087662695498,2
27,12,579.0957400974506,5
26,5,162.5635410718979,3
25,62,290.417378313478,41
24,7,,
23,3,,
19,1,,
16,1,,
