Iteration,SampleCount,P_MASS,P_MASS_Weight
56,48,577.9010963832967,47
55,145,931.5824669151592,136
54,76,227.56177721769694,54
53,36,178.3265077673024,27
52,29,213.27485273040645,23
51,113,173.61972361244509,111
50,89,443.3842974160384,72
49,137,424.3550432554388,104
48,157,216.37304464231715,116
47,210,266.05097129181325,138
46,172,165.07023212232565,22
45,49,222.40437577580113,10
44,1343,337.77657259547783,2
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,11,,
33,18,302.5184024367308,16
32,11,157.98682080627813,9
31,54,186.4442942168296,24
30,6,523.1254840844839,3
29,11,1036.4994647835128,3
28,3,961.115558711606,1
27,14,703.7459225639567,6
26,5,762.9482943662578,4
25,64,478.4888211207988,44
24,4,,
23,3,,
19,1,,
15,1,,
