Iteration,SampleCount,P_MASS,P_MASS_Weight
56,49,,
55,147,472.8930586697023,140
54,74,497.2626811199357,56
53,38,506.1494906919066,31
52,23,433.07926800393545,21
51,124,483.2059820051412,120
50,79,633.9869234173963,71
49,138,536.9902219185317,104
48,145,466.75143298978793,104
47,212,421.8796146685164,128
46,187,587.3453809738278,27
45,43,467.08758897807036,9
44,1344,460.1029860644539,2
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,442.6228157465788,1
37,7,,
36,25,,
35,6,390.7352572216845,3
34,12,,
33,14,550.1785361744065,13
32,14,395.41659334167645,9
31,56,499.24774874483956,26
30,6,472.36239804512115,5
29,8,926.1354612720675,2
28,5,998.513377050618,2
27,12,1048.384000288582,5
26,6,688.6382388487028,4
25,65,635.5650515843428,45
24,3,,
23,3,,
19,1,,
16,1,,
