Iteration,SampleCount,P_MASS,P_MASS_Weight
56,52,,
55,144,245.81873979329555,140
54,76,225.6987839935501,58
53,35,219.1926433332984,30
52,27,242.586523064426,24
51,116,263.7107025624964,115
50,82,439.4285629902625,69
49,141,600.2248270211561,105
48,147,446.02855919012575,107
47,206,605.6164164944554,125
46,193,448.21896038041433,30
45,41,841.0070773376623,10
44,1341,,
43,13,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,24,,
35,6,269.271869563935,2
34,12,371.5608273398163,11
33,17,368.8324894814905,15
32,12,327.64838479995245,9
31,53,314.8670246111007,23
30,7,1848.8335194129509,3
29,11,2041.5321543328091,3
28,4,2083.3625695,2
27,13,1381.148249672683,6
26,6,337.62408709589005,5
25,63,538.8316036289079,44
24,4,,
23,3,,
19,1,,
16,1,,
