Iteration,SampleCount,P_MASS,P_MASS_Weight
58,63,602.0849985942169,62
57,167,388.8172063125797,158
56,96,334.7965597190034,75
55,54,486.6946857674047,48
54,29,537.6874997864544,26
53,142,508.4640998833063,137
52,145,1135.5301231132748,127
51,216,1058.6812398777,174
50,199,579.6076210676779,151
49,266,1142.976046756427,178
48,201,547.7858832805583,36
47,54,1269.6145289660158,15
46,1375,2562.454897271171,5
45,12,3336.992817817521,1
44,677,1922.8158630791008,1
43.0,4.0,,
42.0,1.0,,
41.0,3.0,,
40.0,1.0,,
39,8,,
38,31,211.06038685429917,29
37,6,853.6417268311228,3
36,16,,
35,19,1635.10867702962,18
34,17,736.3597565189771,11
33,58,331.18823357022825,27
32,12,2544.9571462475697,7
31,16,4367.166179963131,9
30,9,3614.187218604995,6
29,19,2425.6889391461123,10
28,10,1518.979635298336,8
27,79,650.3013929778227,57
26,10,6492.874171211023,3
25,5,512.7397181521915,3
24.0,1.0,,
21.0,1.0,,
20.0,3.0,,
18.0,1.0,,
