Iteration,SampleCount,P_MASS,P_MASS_Weight
56,47,,
55,151,223.4227488003096,142
54,75,220.2947208248007,59
53,34,220.49095525104877,30
52,27,231.15015516945786,24
51,112,260.9337566584369,111
50,85,542.1046686821152,68
49,142,556.2064653862832,105
48,149,353.5501907930065,109
47,208,618.6792374874452,129
46,188,443.1275543653774,29
45,41,888.4299986134287,9
44,1344,416.99034000000006,2
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,22,,
35,9,452.16193493406297,3
34,13,,
33,13,,
32,14,288.9977062264262,9
31,54,312.1303863926257,24
30,7,1638.6202575999998,4
29,10,2043.971108253019,3
28,4,2083.3625695,2
27,12,576.0865809499227,5
26,7,328.76418048097827,5
25,64,521.6262932831232,45
24,3,,
23,3,,
19,1,,
16,1,,
