Iteration,SampleCount,S_MASS,S_MASS_Weight
56,48,,
55,149,0.06416309327564344,141
54,74,0.042092700164792246,57
53,38,0.06551781115370203,32
52,21,0.05967131917607274,20
51,118,0.1497744668739971,113
50,83,0.15846252317465886,71
49,138,0.0921820018230358,127
48,146,0.09686488915296303,131
47,209,0.08214806648105466,191
46,178,0.05478704376758742,153
45,55,0.06696418594069262,37
44,1218,0.029284371252222077,1214
43,137,0.04556269841511708,8
42,676,,
41,5,0.14127315301966853,4
40,1,,
39,3,,
37,7,0.0771909239514387,4
36,29,,
35,3,,
34,12,,
33,17,0.20159598267008844,15
32,12,0.11533279835907949,10
31,54,0.09562163657367054,25
30,6,0.04930951511411044,4
29,10,0.11370270156229535,9
28,4,,
27,11,,
26,7,0.2042946020909481,5
25,59,0.265938801064836,58
24,9,,
23,3,,
19,1,,
16,1,,
