Iteration,SampleCount,S_MASS,S_MASS_Weight
56,49,,
55,153,0.16280821917808222,146
54,68,0.18470888486513487,56
53,35,0.27576295986622074,28
52,29,0.2240025765442986,24
51,118,0.22269817357003596,117
50,85,0.207546313993235,77
49,135,0.2190505570438032,130
48,148,0.2317965320845423,136
47,204,0.3061002264343446,191
46,175,0.24909174366127093,150
45,53,0.31292961478824494,32
44,1212,0.13421222304773994,1203
43,148,0.1919497022671307,8
42,676,,
41,4,0.20957029645163672,3
40,2,0.49062033753543255,1
39,3,,
38,1,,
37,6,0.03226293984119369,4
36,29,,
35,3,,
34,11,,
33,17,0.3638203765988219,14
32,12,0.1877467665354382,9
31,49,0.18640538207567175,19
30,13,0.2239777544832218,5
29,9,,
28,4,,
27,12,,
26,6,0.42797794955220525,5
25,63,0.5104303485494277,62
24,5,,
23,2,,
22,1,,
19,1,,
16,1,,
