Iteration,SampleCount,S_MASS,S_MASS_Weight
56,54,0.09093676976455664,53
55,145,0.04698175798263171,142
54,74,0.043499489701304746,58
53,36,0.05793314388930786,31
52,25,0.06361286886499454,23
51,113,0.14912944928050179,111
50,87,0.0703278174374216,73
49,140,0.06261979718236238,131
48,141,0.05291019830834832,130
47,208,0.09007799994807922,189
46,189,0.04925532674975099,162
45,44,0.05067766770759247,35
44,1201,0.02164487925225925,1195
43,157,0.033325838804187255,9
42,676,0.013122815211336403,1
41,2,,
40,3,0.018302515424327537,1
39,3,,
38,1,,
37,6,0.08567084662846788,4
36,29,,
35,3,,
34,11,,
33,17,0.1598677610375838,14
32,12,0.07548972719684588,9
31,56,0.1024466312641471,26
30,6,0.10436286721362494,5
29,8,,
28,5,0.302451333999905,4
27,12,,
26,6,0.3490561185558802,5
25,62,0.29498361268777445,61
24,6,,
23,3,,
19,1,,
16,1,,
