Iteration,SampleCount,S_MASS,S_MASS_Weight
56,50,,
55,147,0.10280425520781918,141
54,74,0.09506322604039372,57
53,33,0.09661781435665845,27
52,29,0.09644155026356525,23
51,111,0.1663079678711393,109
50,89,0.12256483948681356,73
49,134,0.08803120133399929,125
48,147,0.08174664826450236,130
47,208,0.12867800385787695,189
46,180,0.06565689259275735,153
45,54,0.0537340570751179,36
44,1222,0.03567583282393901,1217
43,134,0.031500145875691804,8
42,677,0.09831276612153439,1
41,3,,
40,2,0.11815906476562138,1
39,3,,
38,1,,
37,7,0.23197956566632708,5
36,28,,
35,3,,
34,13,,
33,14,0.1556701100969446,13
32,13,0.06946627254735954,9
31,57,0.12426021800131731,27
30,5,,
29,9,,
28,4,,
27,10,,
26,8,0.4205642010873254,5
25,62,0.41315533849469005,61
24,6,,
23,3,,
19,1,,
16,1,,
