Iteration,SampleCount,S_MASS,S_MASS_Weight
56,54,0.09162651850738526,53
55,150,0.04640253778364925,147
54,64,0.04340925441897434,53
53,43,0.058852053637211035,33
52,25,,
51,109,,
50,92,0.07846689783718615,76
49,134,0.06326678262986297,128
48,152,0.05392135448250839,138
47,201,0.09234401079366529,190
46,183,0.047035199260245894,157
45,49,0.049763818478660585,35
44,1204,0.02047734240946271,1198
43,153,0.0433417591877424,8
42,676,,
41,4,0.04250097465565705,3
40,2,0.021844785303704983,1
39,3,,
38,1,,
37,7,0.07354557569498865,5
36,28,,
35,3,,
34,8,,
33,21,0.14816452010080602,15
32,10,0.08147096069748086,8
31,54,0.10647589656561547,23
30,8,0.09593828066201399,4
29,9,0.12586522577744402,8
28,5,0.2907351933968185,4
27,13,,
26,6,,
25,59,,
24,8,,
23,1,,
22,2,,
19,1,,
16,1,,
