Iteration,SampleCount,S_MASS,S_MASS_Weight
56,48,,
55,146,0.09458803619102113,138
54,79,0.07093731722370511,59
53,35,0.11153042536145226,31
52,26,0.05517268349007582,24
51,116,0.1716744476135349,115
50,84,0.15558404356436495,74
49,135,0.12229115832474713,127
48,149,0.08669942144534262,134
47,212,0.09213068367279527,197
46,172,0.08536082797175885,153
45,52,0.09386326717058652,34
44,1205,0.08034693493284334,1198
43,154,0.06803681019499846,9
42,676,0.06285355997961184,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.10838521158413546,5
36,28,,
35,2,,
34,13,0.11545210334808467,12
33,17,0.16410106824325993,15
32,12,0.1299763298479062,10
31,52,0.14961034633658887,23
30,9,0.1456321748298946,5
29,8,,
28,5,0.23417027256491782,4
27,11,,
26,8,0.2558329458798728,6
25,59,,
24,8,,
23,3,,
19,1,,
16,1,,
