Iteration,SampleCount,S_MASS,S_MASS_Weight
56,50,0.3412137454144299,49
55,150,0.12771438947686134,143
54,74,0.08425621176379226,59
53,31,0.08357737207905507,27
52,29,0.10715093451802939,23
51,117,0.2036642088226538,115
50,90,0.21478284699535227,80
49,131,0.11306823007999457,129
48,146,0.0848239106013239,133
47,216,0.13653918071246088,200
46,169,0.07568084070774124,153
45,54,0.0754228205503493,36
44,1185,0.05110874909781938,1180
43,172,0.04442294327379497,9
42,676,0.07194778956261605,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.09706826170269307,5
36,28,,
35,2,,
34,14,0.08120528121492859,13
33,16,0.17312839695636176,15
32,12,0.09826957130091507,10
31,53,0.13705678046015565,24
30,8,0.2548123488315649,5
29,9,,
28,4,,
27,13,,
26,6,,
25,60,,
24,7,,
23,3,,
19,1,,
16,1,,
