Iteration,SampleCount,S_MASS,S_MASS_Weight
56,52,,
55,149,0.10506322183536151,145
54,66,0.06527524821683373,53
53,43,0.11140622799228404,33
52,23,,
51,116,0.16711924559327868,114
50,87,0.15239061521487196,76
49,135,0.11923811377328511,129
48,147,0.10345584688651573,134
47,205,0.1034311016236833,190
46,182,0.07278449253528257,156
45,50,0.08083166608308884,35
44,1194,0.0710567445461237,1188
43,164,0.05741427980480399,9
42,676,0.033931538518162,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.10599248047549543,5
36,28,,
35,3,,
34,11,,
33,16,0.18083626386977839,13
32,12,0.11011786452852487,8
31,56,0.15062264337457315,25
30,7,0.1395930070817876,5
29,9,,
28,3,,
27,14,0.2898152349551247,13
26,6,,
25,63,,
24,4,,
23,3,,
19,1,,
16,1,,
