Iteration,SampleCount,S_MASS,S_MASS_Weight
56,47,,
55,149,0.0698571428571429,140
54,77,0.05988474576271189,59
53,34,0.10259733333333337,30
52,27,0.07010333333333335,24
51,115,0.15796771929824563,114
50,83,0.11642722208333332,72
49,145,0.10396207398518519,135
48,139,0.09202515150000001,132
47,211,0.13276824725773195,194
46,179,0.07492728667515924,157
45,48,0.06698823529411765,34
44,1202,0.04599384770041841,1195
43,157,0.05607288888888884,9
42,676,0.0,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.09694400000000007,5
36,28,,
35,2,,
34,13,0.0946279998666667,12
33,15,0.22300615363076925,13
32,14,0.123944,10
31,53,0.15211699998333333,24
30,8,0.09745600000000006,5
29,9,,
28,4,,
27,9,,
26,10,0.3682266666666667,6
25,60,,
24,7,,
23,3,,
19,1,,
16,1,,
