Iteration,SampleCount,S_MASS,S_MASS_Weight
56,53,0.17415384615384616,52
55,141,0.16444500377548454,137
54,79,0.16446624322564074,58
53,38,0.2553161366245766,33
52,19,,
51,116,0.23303075169637638,110
50,93,0.22127012616057673,78
49,135,0.21527099423557294,131
48,146,0.23469514723085744,135
47,199,0.2925725508492201,185
46,187,0.27694967100613194,156
45,47,0.32587958353279356,32
44,1210,0.1341999100413924,1201
43,152,0.1618653462858483,10
42,675,0.09092147188680921,1
41,3,,
40,2,0.49108408987117946,1
39,3,,
38,1,,
37,7,0.035812565830204604,5
36,28,,
35,3,,
34,13,,
33,14,0.37703024595705775,13
32,14,0.174,10
31,55,0.19203403613975822,26
30,6,0.22392608673618156,5
29,8,,
28,4,0.2739506388290915,3
27,13,0.3066666666666667,12
26,7,0.43171123962294133,6
25,62,,
24,5,,
23,3,,
19,1,,
16,1,,
