Iteration,SampleCount,S_MASS,S_MASS_Weight
56,49,0.13567883393607208,48
55,157,0.07848688468628148,149
54,66,0.06041211227370625,57
53,33,0.11811254762804636,27
52,29,0.08150799191260062,23
51,118,0.16760485452276241,116
50,84,0.12728957178628408,75
49,133,0.11370943595150107,126
48,148,0.10168358355008401,132
47,211,0.10928755314046117,194
46,176,0.07331233786321872,154
45,50,0.07814904859428216,33
44,1206,0.06756370211305794,1198
43,155,0.05113781944898922,10
42,675,0.021922109935711864,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.08568438826275507,5
36,28,,
35,2,,
34,13,0.06607900220066985,12
33,17,0.20641896252076675,15
32,12,0.13485655651353057,10
31,55,0.13914642048426953,26
30,4,0.16742017720551314,3
29,11,0.14111635588979743,9
28,3,,
27,13,0.3266910956780399,12
26,5,0.26457081543051975,4
25,62,0.27374631096436874,60
24,7,,
23,2,,
22,1,,
19,1,,
16,1,,
