Iteration,SampleCount,S_MASS,S_MASS_Weight
56,48,,
55,148,0.1566878306878307,140
54,76,0.17677155646599146,58
53,37,0.2644226862734235,32
52,23,0.25115941396202734,22
51,123,0.22272511377366952,120
50,80,0.21413800384253268,75
49,135,0.21709980062191064,128
48,154,0.2347774093903793,140
47,201,0.3078232634847662,192
46,174,0.27482746032360533,150
45,56,0.3068738280826792,35
44,1199,0.13585384456758345,1193
43,158,0.17386967538808787,8
42,677,0.08980699217945731,1
41,4,,
40,1,,
39,3,,
38,1,,
37,5,0.03670356817603589,3
36,30,,
35,3,,
34,11,,
33,16,0.3704931538499316,13
32,13,0.17882909326100843,9
31,56,0.20257049429953372,26
30,6,0.22414258589974556,5
29,9,,
28,4,,
27,10,,
26,7,0.5343101342526317,4
25,65,0.48469223279430873,63
24,4,,
23,3,,
19,1,,
16,1,,
