Iteration,SampleCount,S_MASS,S_MASS_Weight
56,47,0.08931483425539442,46
55,154,0.04538015275566348,144
54,74,0.04127685979546898,60
53,30,0.06077383182039868,27
52,29,0.06223818333094727,23
51,115,0.15143334977067954,113
50,83,0.07369533524604066,71
49,132,0.0630936307210968,121
48,159,0.05525784627202345,138
47,204,0.09114665951300664,193
46,179,0.04984951839584205,156
45,51,0.053083369081549835,36
44,1212,0.02045796904166287,1207
43,145,0.03756797481554113,9
42,676,0.025501077664440874,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.06729646297410971,5
36,28,,
35,3,,
34,11,,
33,17,0.1381733737980346,14
32,12,0.08876399507859241,9
31,56,0.1018738889547927,26
30,5,0.12167270204295624,4
29,9,0.1373791737684562,8
28,3,0.5057853162726639,2
27,14,0.31751268720756504,12
26,6,0.34034321409111956,5
25,61,0.2938867903151552,60
24,7,,
23,2,,
22,1,,
19,1,,
16,1,,
