Iteration,SampleCount,S_MASS,S_MASS_Weight
56,51,,
55,146,0.07482269503546102,141
54,70,0.05886792452830187,53
53,40,0.08833333333333332,30
52,26,0.07130434782608697,23
51,113,0.16414414414414413,111
50,86,0.08293055513888889,72
49,135,0.07583999999999998,125
48,151,0.08664179104477611,134
47,205,0.07133157900000002,190
46,180,0.04699350642857142,154
45,52,0.03514285714285713,35
44,1215,0.03875930521091812,1209
43,144,0.02599999999999999,10
42,675,1.1102230246251565e-16,1
41,4,,
40,1,,
39,2,,
38,2,0.010000000000000009,1
37,6,0.06000000000000005,4
36,29,,
35,3,,
34,12,,
33,16,0.11071428571428574,14
32,13,0.14699999999999996,10
31,54,0.10960000000000004,25
30,7,0.08200000000000007,5
29,8,,
28,5,0.21499999999999997,4
27,12,,
26,7,0.5483333333333333,6
25,61,,
24,6,,
23,3,,
19,1,,
16,1,,
