Iteration,SampleCount,S_MASS,S_MASS_Weight
56,51,0.1160869335358479,50
55,147,0.10822483681942159,141
54,75,0.06780336109157216,58
53,35,0.09338503207058103,30
52,26,0.07053418690982505,23
51,114,0.17645737280683987,112
50,87,0.15819278800021633,74
49,137,0.12417386454043922,129
48,145,0.10180480615019762,132
47,214,0.09967021448384138,197
46,170,0.06745851099277425,151
45,57,0.07674339118043638,37
44,1207,0.07026397873769981,1203
43,150,0.048403079262339846,10
42,674,,
41,4,0.083019790270863,3
40,1,,
39,4,0.1839332511843044,3
37,8,0.10317158017311442,5
36,28,,
35,3,,
34,13,,
33,14,0.2474239413299733,13
32,13,0.10932014091108135,9
31,55,0.15024890273781039,25
30,6,0.12591788745518742,4
29,10,0.1335365032870572,9
28,4,,
27,13,,
26,6,,
25,56,,
24,11,,
23,2,,
22,1,,
19,1,,
16,1,,
