Iteration,SampleCount,S_MASS,S_MASS_Weight
56,54,0.08228860019494777,53
55,141,0.0717905295094934,138
54,72,0.4330802032167021,52
53,38,0.09209710943202183,27
52,26,0.17538762469962244,20
51,116,0.21332100044344424,111
50,91,50264699.68665733,77
49,125,14.240497827183999,120
48,154,183.53419978577236,132
47,214,21.868705737650707,197
46,169,7.588113778627749,150
45,55,1.5586587538760142,34
44,1229,0.27790042751686644,1222
43,131,2.451719972047313,10
42,674,,
41,5,0.7279238037314877,4
40,1,,
39,3,,
38,1,,
37,7,2.098908207901034,5
36,28,,
35,3,,
34,12,,
33,17,7.781837523422495,15
32,8,0.3156920239178214,6
31,59,3.607982178763277,26
30,5,3.923693081533666,4
29,8,2.572573308633903,7
28,5,3.2913941915656615,3
27,14,1.089556645069648,13
26,6,,
25,60,,
24,7,,
23,3,,
19,1,,
16,1,,
