Iteration,SampleCount,S_MASS,S_MASS_Weight
56,51,0.14666783425885993,49
55,155,0.07602209572297211,148
54,60,0.06630518053967133,50
53,41,0.0950517625201754,28
52,27,0.1078441204289543,22
51,120,0.16322532784559765,117
50,80,0.1410207617400058,72
49,130,0.13319357055968906,120
48,153,0.11192494296202687,131
47,204,0.1071878057061566,186
46,186,0.07032877253625198,156
45,52,0.0777649332589247,37
44,1223,0.06657620338839769,1219
43,134,0.04709087016264588,10
42,675,0.032999688409099726,1
41,2,,
40,3,0.013369763936712686,1
39,3,,
37,8,0.05987099935317677,5
36,28,,
35,3,,
34,13,,
33,15,0.21910405277236525,14
32,12,0.13371164839097224,9
31,55,0.13447641048650472,25
30,7,0.12606026996748174,5
29,8,,
28,5,0.31439261759102854,4
27,11,,
26,7,0.2581586015093506,5
25,60,0.29543463220887206,59
24,8,,
23,3,,
19,1,,
16,1,,
