Iteration,SampleCount,S_MASS,S_MASS_Weight
56,53,0.13997547830895424,51
55,143,0.20350129455543944,138
54,79,0.44662751424363106,59
53,31,0.04833546178277448,27
52,30,0.15307359727856237,24
51,113,0.2461379843807247,112
50,86,99929022.74240834,73
49,141,5.108751251548823,132
48,140,6.0528999888155655,130
47,210,1.0634862464586605,191
46,183,0.2708928827202483,158
45,51,0.372378903802308,38
44,1200,0.17184614907524295,1197
43,156,0.2745850784315178,10
42,675,0.2356665466724276,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.1903694414125113,5
36,28,,
35,3,,
34,13,,
33,16,0.6166783547092508,15
32,10,0.3599818520928789,8
31,55,0.6123510019073992,24
30,7,0.5288760345769163,4
29,8,0.28674939463754956,7
28,6,0.5469786519358503,4
27,12,,
26,7,0.633333014924689,6
25,62,,
24,5,,
23,3,,
19,1,,
16,1,,
