Iteration,SampleCount,S_MASS,S_MASS_Weight
56,53,0.10134615384615382,52
55,142,0.09652173913043478,138
54,75,0.0516363636363636,55
53,39,0.06612903225806452,31
52,24,0.07318181818181822,22
51,115,0.16749999999999998,112
50,91,0.14952564115384612,78
49,130,0.10878571420634922,126
48,150,0.08156716417910449,134
47,219,0.07758333328431373,204
46,165,0.04052287581699347,153
45,58,0.037500000000000026,40
44,1189,0.04251683501683503,1188
43,165,0.03799999999999998,10
42,675,0.0,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.06999999999999998,5
36,28,,
35,2,,
34,11,0.08200000000000002,10
33,18,0.08428571428571431,14
32,12,0.10111111111111108,9
31,55,0.1968,25
30,6,0.13499999999999995,4
29,7,0.10000000000000007,6
28,7,0.2824999999999999,4
27,13,,
26,5,,
25,63,0.5193548387096775,62
24,5,,
23,3,,
19,1,,
16,1,,
