Iteration,SampleCount,S_MASS,S_MASS_Weight
56,52,0.07120025498327631,51
55,148,0.1006408444073025,143
54,74,0.7864900735828836,59
53,35,0.09840321307701452,31
52,25,0.11985430585382428,23
51,111,0.17484663727342944,109
50,85,55889360.01122951,69
49,140,3.423612805739782,127
48,146,59.26778913658564,131
47,213,235447.48827004788,195
46,172,151944.35175626594,151
45,57,33232.95183798292,37
44,1209,4049.39916473993,1205
43,147,6113.740472314001,9
42,676,1611.7990957030495,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,3634.7016616476885,5
36,28,,
35,3,,
34,10,,
33,16,29148.683397759447,12
32,15,5489.271274450199,10
31,54,14019.040277260963,25
30,6,16346.440389705791,4
29,10,11750.435591790963,9
28,4,,
27,12,,
26,6,3059.91585457586,5
25,64,2219.725053306422,63
24,4,,
23,3,,
19,1,,
16,1,,
